dataset,attack,eps,success_rate,clean_accuracy,num_eval_samples
MNIST,fgsm_targeted,0.05,1.0,98.9,100
MNIST,fgsm_targeted,0.1,1.0,98.9,100
MNIST,fgsm_targeted,0.2,12.0,98.9,100
MNIST,fgsm_targeted,0.3,42.0,98.9,100
MNIST,fgsm_untargeted,0.05,4.0,98.9,100
MNIST,fgsm_untargeted,0.1,8.0,98.9,100
MNIST,fgsm_untargeted,0.2,56.0,98.9,100
MNIST,fgsm_untargeted,0.3,96.0,98.9,100
MNIST,pgd_targeted,0.05,1.0,98.9,100
MNIST,pgd_targeted,0.1,1.0,98.9,100
MNIST,pgd_targeted,0.2,32.0,98.9,100
MNIST,pgd_targeted,0.3,92.0,98.9,100
MNIST,pgd_untargeted,0.05,4.0,98.9,100
MNIST,pgd_untargeted,0.1,12.0,98.9,100
MNIST,pgd_untargeted,0.2,84.0,98.9,100
MNIST,pgd_untargeted,0.3,100.0,98.9,100
CIFAR-10,fgsm_targeted,0.05,2.0,93.94,100
CIFAR-10,fgsm_targeted,0.1,6.0,93.94,100
CIFAR-10,fgsm_targeted,0.2,3.0,93.94,100
CIFAR-10,fgsm_targeted,0.3,7.0,93.94,100
CIFAR-10,fgsm_untargeted,0.05,81.0,93.94,100
CIFAR-10,fgsm_untargeted,0.1,90.0,93.94,100
CIFAR-10,fgsm_untargeted,0.2,88.0,93.94,100
CIFAR-10,fgsm_untargeted,0.3,89.0,93.94,100
CIFAR-10,pgd_targeted,0.05,100.0,93.94,100
CIFAR-10,pgd_targeted,0.1,100.0,93.94,100
CIFAR-10,pgd_targeted,0.2,100.0,93.94,100
CIFAR-10,pgd_targeted,0.3,100.0,93.94,100
CIFAR-10,pgd_untargeted,0.05,100.0,93.94,100
CIFAR-10,pgd_untargeted,0.1,100.0,93.94,100
CIFAR-10,pgd_untargeted,0.2,100.0,93.94,100
CIFAR-10,pgd_untargeted,0.3,100.0,93.94,100
